job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,posting_date,application_deadline,benefits_score,company_name
AI00014,Autonomous Systems Engineer,68760,USD,Entry,Contract,norway,Small,norway,0,Master,0,Energy,2024-02-11,2024-02-25,9.1,Cloud AI Solutions
AI00015,AI Research Scientist,150122,USD,Senior,Full Time,sweden,Mid,sweden,100,Associate,6,Technology,2024-10-02,2024-11-26,9.8,Advanced Robotics
AI00016,AI Product Manager,78846,GBP,Entry,Part Time,united kingdom,Large,israel,0,PhD,0,Consulting,2024-09-28,2024-10-26,9.6,DataVision Ltd
AI00017,Principal Data Scientist,59823,USD,Entry,Full Time,india,Large,india,100,Bachelor,1,Real Estate,2025-02-06,2025-03-26,5.8,Predictive Systems
AI00018,Machine Learning Engineer,181139,EUR,Executive,Contract,france,Large,france,100,Associate,15,Real Estate,2024-04-24,2024-06-03,8.7,AI Innovations
AI00019,Data Engineer,155300,USD,Senior,Contract,singapore,Mid,singapore,0,Associate,9,Finance,2024-04-30,2024-05-29,8.6,Algorithmic Solutions
AI00020,Research Scientist,93851,EUR,Mid,Part Time,netherlands,Large,germany,100,PhD,4,Transportation,2024-05-01,2024-07-02,6.7,AI Innovations
AI00021,Data Engineer,134197,USD,Mid,Full Time,norway,Mid,france,0,Bachelor,3,Telecommunications,2024-06-21,2024-08-28,9.6,AI Innovations
AI00022,Autonomous Systems Engineer,102550,USD,Mid,Part Time,united states,Mid,united states,0,Bachelor,2,Automotive,2024-04-23,2024-06-23,10.0,Cognitive Computing
AI00023,ML Ops Engineer,99382,EUR,Senior,Contract,germany,Small,germany,0,PhD,7,Automotive,2025-03-13,2025-05-11,6.9,Quantum Computing Inc
AI00024,AI Product Manager,52167,USD,Mid,Full Time,austria,Mid,ireland,100,Master,4,Telecommunications,2024-06-07,2024-06-24,9.3,Cloud AI Solutions
AI00025,ML Ops Engineer,53923,USD,Mid,Full Time,china,Small,china,0,Bachelor,2,Healthcare,2024-10-27,2024-11-18,7.4,AI Innovations
AI00026,Robotics Engineer,109779,USD,Senior,Part Time,israel,Large,israel,100,PhD,6,Government,2024-08-01,2024-10-02,8.8,DataVision Ltd
AI00027,ML Ops Engineer,80979,USD,Mid,Contract,australia,Small,india,50,Master,2,Media,2024-11-18,2025-01-18,7.7,TechCorp Inc
AI00028,Data Analyst,52997,USD,Mid,Part Time,austria,Mid,singapore,0,PhD,2,Government,2025-01-10,2025-02-20,8.6,Predictive Systems
AI00029,Head of AI,42819,USD,Entry,Contract,ireland,Mid,ireland,50,PhD,0,Healthcare,2024-10-08,2024-11-20,8.6,Cognitive Computing
AI00030,ML Ops Engineer,82083,USD,Mid,Contract,israel,Large,israel,100,Master,2,Retail,2024-01-18,2024-02-25,6.3,Future Systems
AI00031,Head of AI,67488,EUR,Entry,Full Time,netherlands,Mid,netherlands,100,Master,1,Retail,2024-05-16,2024-07-26,6.0,Advanced Robotics
AI00032,Research Scientist,68624,USD,Entry,Full Time,denmark,Mid,denmark,0,Master,1,Real Estate,2024-01-31,2024-03-08,9.2,Cloud AI Solutions
AI00033,Robotics Engineer,146852,USD,Senior,Full Time,switzerland,Small,switzerland,50,PhD,7,Real Estate,2024-08-28,2024-09-20,5.3,Cognitive Computing
AI00034,ML Ops Engineer,178183,USD,Executive,Freelance,finland,Mid,finland,0,Associate,16,Education,2024-03-01,2024-03-19,5.7,Predictive Systems
AI00035,Deep Learning Engineer,150864,USD,Senior,Freelance,sweden,Large,singapore,0,PhD,8,Consulting,2024-10-26,2024-12-25,7.9,Smart Analytics
AI00036,Head of AI,126942,USD,Executive,Contract,finland,Large,netherlands,0,Associate,10,Finance,2024-01-31,2024-02-26,9.9,Autonomous Tech
AI00037,AI Architect,53752,USD,Mid,Part Time,japan,Mid,japan,100,Associate,2,Telecommunications,2024-10-17,2024-11-12,6.1,TechCorp Inc
AI00038,Robotics Engineer,111381,USD,Executive,Contract,israel,Small,israel,0,Master,18,Government,2024-01-14,2024-03-12,8.1,Autonomous Tech
AI00039,AI Specialist,41430,USD,Entry,Part Time,china,Mid,china,50,Bachelor,1,Healthcare,2024-06-15,2024-07-29,8.0,Future Systems
AI00040,Data Engineer,166080,EUR,Executive,Freelance,netherlands,Large,netherlands,100,Associate,15,Government,2024-03-01,2024-05-01,5.1,DeepTech Ventures
AI00041,Data Scientist,96956,USD,Mid,Full Time,united states,Mid,china,0,Bachelor,2,Telecommunications,2024-02-24,2024-03-09,5.3,DataVision Ltd
AI00042,AI Architect,196954,USD,Senior,Freelance,united states,Large,united states,50,Bachelor,8,Finance,2025-03-17,2025-04-16,7.5,DataVision Ltd
AI00043,AI Specialist,56745,USD,Entry,Part Time,finland,Large,finland,100,Associate,1,Telecommunications,2025-02-01,2025-04-11,5.5,Quantum Computing Inc
AI00044,Machine Learning Researcher,113455,USD,Senior,Full Time,singapore,Mid,singapore,50,Associate,8,Retail,2024-04-24,2024-06-12,8.0,AI Innovations
AI00045,ML Ops Engineer,158808,EUR,Senior,Part Time,netherlands,Mid,netherlands,50,Bachelor,5,Media,2025-03-03,2025-05-03,7.4,Future Systems
AI00046,AI Research Scientist,174663,USD,Senior,Contract,united states,Mid,singapore,50,Associate,7,Media,2024-01-10,2024-03-22,5.4,DeepTech Ventures
AI00047,AI Research Scientist,46753,USD,Entry,Contract,india,Small,india,50,PhD,1,Manufacturing,2024-11-16,2024-12-18,9.7,Quantum Computing Inc
AI00048,AI Software Engineer,69020,USD,Mid,Freelance,china,Large,china,0,Bachelor,4,Energy,2024-09-05,2024-10-25,8.8,TechCorp Inc
AI00049,AI Specialist,288815,USD,Executive,Part Time,switzerland,Small,switzerland,0,Bachelor,12,Manufacturing,2024-08-08,2024-09-23,7.2,Cognitive Computing
AI00050,AI Consultant,124871,USD,Executive,Freelance,austria,Mid,finland,50,PhD,19,Media,2025-03-10,2025-05-17,8.0,Autonomous Tech
AI00051,AI Architect,70391,EUR,Mid,Full Time,germany,Small,germany,0,PhD,4,Government,2024-08-16,2024-10-19,9.2,TechCorp Inc
AI00052,Research Scientist,115376,USD,Executive,Full Time,india,Mid,india,100,Master,17,Technology,2024-03-12,2024-04-14,5.5,Autonomous Tech
AI00053,Research Scientist,106579,USD,Mid,Part Time,united states,Small,united states,100,Associate,3,Gaming,2024-02-24,2024-05-02,5.4,Cognitive Computing
AI00054,Data Scientist,135230,USD,Senior,Part Time,norway,Small,norway,100,PhD,8,Consulting,2024-07-07,2024-09-09,7.5,DataVision Ltd
AI00055,Research Scientist,67607,USD,Mid,Part Time,israel,Small,israel,50,Master,4,Media,2024-08-05,2024-08-26,8.6,Quantum Computing Inc
AI00056,AI Architect,88470,USD,Mid,Part Time,canada,Large,canada,0,Associate,3,Real Estate,2024-07-29,2024-09-27,9.1,Autonomous Tech
AI00057,Autonomous Systems Engineer,79863,USD,Mid,Freelance,india,Large,india,100,Associate,4,Automotive,2024-09-28,2024-10-26,5.6,Autonomous Tech
AI00058,Machine Learning Engineer,60299,USD,Entry,Part Time,israel,Large,israel,100,PhD,0,Finance,2025-03-22,2025-05-01,6.6,Advanced Robotics
AI00059,Machine Learning Engineer,85645,EUR,Mid,Full Time,germany,Mid,germany,0,Associate,4,Transportation,2024-02-09,2024-03-06,7.9,AI Innovations
AI00060,AI Software Engineer,110222,GBP,Senior,Freelance,united kingdom,Small,france,0,Associate,8,Media,2024-03-20,2024-05-05,9.0,TechCorp Inc
AI00061,Data Scientist,49365,USD,Entry,Full Time,china,Mid,china,0,Associate,1,Finance,2024-06-22,2024-08-14,10.0,Predictive Systems
AI00062,Data Scientist,162296,USD,Senior,Part Time,norway,Small,norway,50,Bachelor,6,Finance,2024-06-05,2024-07-01,6.2,Neural Networks Co
AI00063,AI Consultant,102382,USD,Mid,Part Time,switzerland,Mid,switzerland,0,PhD,3,Education,2024-03-23,2024-06-03,5.8,Smart Analytics
AI00064,AI Software Engineer,99972,USD,Mid,Part Time,australia,Mid,canada,50,PhD,4,Technology,2024-02-20,2024-03-15,6.5,Cloud AI Solutions
AI00065,Data Engineer,64129,USD,Entry,Contract,south korea,Large,south korea,0,Bachelor,0,Manufacturing,2024-12-15,2025-02-11,7.1,Machine Intelligence Group
AI00066,AI Specialist,87938,USD,Senior,Full Time,ireland,Small,ireland,100,PhD,8,Education,2024-12-15,2025-02-12,8.1,Machine Intelligence Group
AI00067,Autonomous Systems Engineer,71405,USD,Mid,Freelance,israel,Large,israel,0,Associate,4,Retail,2024-09-01,2024-10-29,9.5,Advanced Robotics
AI00068,Machine Learning Engineer,316182,USD,Executive,Part Time,denmark,Mid,canada,0,Associate,12,Finance,2025-02-09,2025-02-23,7.0,Digital Transformation LLC
AI00069,Machine Learning Researcher,72459,EUR,Entry,Part Time,germany,Mid,germany,100,Bachelor,0,Gaming,2024-08-30,2024-09-15,9.6,Quantum Computing Inc
AI00070,Principal Data Scientist,78338,EUR,Mid,Full Time,france,Large,france,100,Associate,3,Technology,2024-10-31,2024-12-15,8.7,Cognitive Computing
AI00071,NLP Engineer,51907,USD,Mid,Freelance,israel,Mid,singapore,100,Bachelor,4,Healthcare,2024-02-14,2024-04-02,8.2,Neural Networks Co
AI00072,Autonomous Systems Engineer,122831,EUR,Senior,Freelance,france,Small,france,100,Master,7,Real Estate,2024-05-31,2024-06-19,8.4,Algorithmic Solutions
AI00073,Machine Learning Researcher,124820,USD,Mid,Freelance,norway,Small,norway,50,Associate,3,Real Estate,2024-08-02,2024-10-01,9.9,Cognitive Computing
AI00074,Autonomous Systems Engineer,134200,GBP,Senior,Part Time,united kingdom,Small,united kingdom,50,PhD,9,Retail,2024-11-29,2025-01-09,7.8,Machine Intelligence Group
AI00075,Data Engineer,51920,USD,Entry,Part Time,sweden,Small,finland,100,PhD,0,Consulting,2025-04-08,2025-05-13,7.9,Digital Transformation LLC
AI00076,Data Engineer,56427,USD,Entry,Freelance,singapore,Mid,singapore,100,Master,0,Energy,2024-11-16,2025-01-25,5.2,DeepTech Ventures
AI00077,AI Product Manager,213783,USD,Executive,Full Time,canada,Small,canada,100,Bachelor,16,Energy,2024-09-19,2024-10-06,9.2,Quantum Computing Inc
AI00078,ML Ops Engineer,59728,USD,Mid,Freelance,israel,Mid,israel,50,Associate,2,Finance,2024-06-10,2024-08-13,7.5,DataVision Ltd
AI00079,Computer Vision Engineer,119432,USD,Senior,Contract,india,Large,india,0,PhD,6,Technology,2024-04-20,2024-06-08,6.3,Autonomous Tech
AI00080,AI Research Scientist,284486,USD,Executive,Contract,united states,Mid,united states,0,Master,12,Consulting,2025-02-13,2025-03-10,7.0,TechCorp Inc
AI00081,Data Analyst,157597,EUR,Executive,Contract,france,Large,france,50,Bachelor,17,Manufacturing,2024-08-31,2024-09-15,8.4,Neural Networks Co
AI00082,ML Ops Engineer,196942,USD,Executive,Contract,australia,Large,australia,100,Master,19,Gaming,2024-04-01,2024-04-16,7.5,TechCorp Inc
AI00083,Machine Learning Researcher,207548,USD,Executive,Contract,canada,Mid,canada,0,PhD,10,Energy,2024-02-05,2024-03-11,6.7,Cognitive Computing
AI00084,NLP Engineer,68838,USD,Mid,Freelance,sweden,Small,sweden,50,PhD,3,Automotive,2024-06-20,2024-08-12,7.4,TechCorp Inc
AI00085,ML Ops Engineer,125666,USD,Executive,Freelance,finland,Large,finland,100,PhD,13,Telecommunications,2024-06-19,2024-08-22,8.4,TechCorp Inc
AI00086,NLP Engineer,73174,USD,Entry,Full Time,denmark,Mid,denmark,50,Associate,0,Finance,2024-07-14,2024-09-08,6.4,Machine Intelligence Group
AI00087,Autonomous Systems Engineer,33314,USD,Entry,Contract,israel,Small,india,50,Bachelor,0,Manufacturing,2025-04-16,2025-06-15,8.3,Future Systems
AI00088,AI Specialist,69914,USD,Entry,Full Time,united states,Small,united states,100,Associate,0,Transportation,2025-02-15,2025-04-15,7.0,Smart Analytics
AI00089,Principal Data Scientist,152118,EUR,Executive,Freelance,france,Mid,france,50,Master,11,Automotive,2024-05-20,2024-07-14,6.9,AI Innovations
AI00090,AI Software Engineer,78014,EUR,Entry,Contract,france,Large,france,50,PhD,0,Real Estate,2024-11-19,2024-12-07,6.8,Digital Transformation LLC
AI00091,Research Scientist,48466,USD,Entry,Part Time,canada,Small,canada,100,Bachelor,0,Automotive,2025-03-10,2025-05-14,5.7,Predictive Systems
AI00092,Data Analyst,97997,EUR,Senior,Contract,france,Small,france,50,PhD,8,Technology,2024-06-19,2024-07-16,6.0,Algorithmic Solutions
AI00093,Principal Data Scientist,128341,USD,Senior,Freelance,singapore,Small,singapore,0,Bachelor,9,Finance,2025-04-26,2025-06-15,6.9,Neural Networks Co
AI00094,AI Research Scientist,111528,USD,Mid,Freelance,united states,Large,united states,0,PhD,3,Real Estate,2024-03-01,2024-05-08,9.5,Predictive Systems
AI00095,Machine Learning Researcher,138945,USD,Executive,Part Time,canada,Small,canada,50,Master,19,Education,2024-07-10,2024-09-15,8.9,DeepTech Ventures
AI00096,NLP Engineer,98688,USD,Senior,Full Time,israel,Mid,israel,50,Bachelor,8,Manufacturing,2024-04-10,2024-05-03,8.6,Cognitive Computing
AI00097,Data Analyst,109029,EUR,Senior,Full Time,france,Small,france,0,Bachelor,6,Technology,2025-04-05,2025-06-13,6.1,Predictive Systems
AI00098,NLP Engineer,84797,USD,Mid,Full Time,canada,Mid,canada,0,Master,4,Real Estate,2024-12-04,2025-01-03,6.2,Machine Intelligence Group
AI00099,Machine Learning Researcher,290199,USD,Executive,Contract,switzerland,Large,denmark,50,Master,12,Retail,2025-01-12,2025-03-07,5.6,Smart Analytics
AI00100,AI Research Scientist,195691,USD,Senior,Contract,united states,Large,united states,0,PhD,8,Transportation,2024-04-20,2024-06-22,8.7,Advanced Robotics
AI00101,AI Product Manager,193448,USD,Senior,Full Time,norway,Large,norway,100,Associate,9,Consulting,2025-01-02,2025-03-11,6.6,Cognitive Computing
AI00102,AI Product Manager,138466,USD,Executive,Part Time,israel,Large,israel,100,Associate,16,Government,2024-01-25,2024-04-04,9.5,Smart Analytics
AI00103,Data Analyst,91577,EUR,Mid,Contract,netherlands,Mid,netherlands,100,Bachelor,3,Transportation,2024-01-27,2024-02-28,6.5,Algorithmic Solutions
AI00104,Computer Vision Engineer,92875,USD,Mid,Full Time,sweden,Small,sweden,0,PhD,3,Real Estate,2024-07-21,2024-09-27,5.3,Digital Transformation LLC
AI00105,Data Engineer,213287,GBP,Executive,Full Time,united kingdom,Small,united kingdom,100,Master,13,Healthcare,2025-03-03,2025-04-03,6.3,Cloud AI Solutions
AI00106,NLP Engineer,62171,USD,Mid,Full Time,japan,Small,japan,0,Bachelor,2,Consulting,2024-09-15,2024-11-07,8.1,AI Innovations
AI00107,AI Research Scientist,152658,USD,Executive,Freelance,south korea,Large,united kingdom,50,Associate,16,Automotive,2024-01-28,2024-03-17,9.0,TechCorp Inc
AI00108,ML Ops Engineer,95085,USD,Mid,Full Time,norway,Mid,norway,100,Associate,2,Retail,2024-03-20,2024-04-20,6.5,Predictive Systems
AI00109,Deep Learning Engineer,86750,EUR,Mid,Freelance,france,Small,france,100,PhD,2,Government,2024-12-13,2025-02-24,7.1,AI Innovations
AI00110,AI Specialist,64261,USD,Mid,Part Time,israel,Mid,israel,0,Master,2,Transportation,2024-09-04,2024-10-10,8.8,TechCorp Inc
AI00111,Machine Learning Researcher,205357,USD,Executive,Part Time,united states,Small,united states,100,Bachelor,18,Education,2024-03-08,2024-05-13,6.6,Predictive Systems
AI00112,AI Architect,165676,EUR,Executive,Contract,france,Small,france,50,Associate,18,Government,2024-05-13,2024-06-25,7.8,Neural Networks Co
AI00113,Computer Vision Engineer,114658,EUR,Senior,Contract,france,Mid,france,100,Bachelor,9,Telecommunications,2024-03-18,2024-04-20,8.2,Algorithmic Solutions
AI00114,Data Scientist,143149,EUR,Senior,Freelance,france,Large,france,50,Master,6,Real Estate,2024-03-13,2024-05-10,9.1,Digital Transformation LLC
AI00115,Machine Learning Researcher,116276,EUR,Senior,Freelance,germany,Small,germany,50,Bachelor,7,Technology,2024-08-14,2024-09-06,7.9,Future Systems
AI00116,NLP Engineer,61055,USD,Entry,Freelance,united states,Mid,ireland,100,Bachelor,0,Retail,2024-06-04,2024-07-16,6.9,Autonomous Tech
AI00117,ML Ops Engineer,50303,USD,Entry,Full Time,austria,Large,austria,100,Master,0,Gaming,2024-08-11,2024-10-02,7.0,DataVision Ltd
AI00118,Data Analyst,65570,USD,Senior,Freelance,ireland,Small,ireland,50,Associate,7,Retail,2024-10-22,2024-11-06,9.9,Smart Analytics
AI00119,AI Software Engineer,231078,USD,Executive,Freelance,singapore,Mid,singapore,50,Bachelor,17,Consulting,2024-04-15,2024-06-03,7.6,Neural Networks Co
AI00120,AI Product Manager,106633,USD,Senior,Full Time,australia,Mid,south korea,100,Bachelor,9,Automotive,2024-05-18,2024-06-25,5.5,Algorithmic Solutions
AI00121,AI Specialist,121180,USD,Senior,Freelance,austria,Large,austria,0,Master,9,Media,2025-01-06,2025-02-01,7.0,Quantum Computing Inc
AI00122,Principal Data Scientist,64531,USD,Entry,Part Time,china,Large,netherlands,50,PhD,0,Retail,2025-03-26,2025-04-13,7.0,Smart Analytics
AI00123,Machine Learning Engineer,125654,USD,Mid,Contract,singapore,Large,singapore,50,PhD,4,Automotive,2024-06-20,2024-08-25,6.8,DataVision Ltd
AI00124,Machine Learning Researcher,182275,USD,Executive,Full Time,austria,Large,austria,0,PhD,14,Technology,2025-04-19,2025-05-14,9.0,DeepTech Ventures
AI00125,Machine Learning Researcher,117708,USD,Mid,Freelance,denmark,Large,denmark,0,PhD,4,Transportation,2024-02-24,2024-03-17,9.3,Neural Networks Co
AI00126,Data Engineer,143246,USD,Executive,Full Time,south korea,Small,south korea,0,Master,11,Healthcare,2024-12-25,2025-01-24,8.4,Future Systems
AI00127,AI Product Manager,203198,USD,Senior,Full Time,denmark,Large,denmark,50,Master,5,Consulting,2024-12-04,2025-01-11,7.6,DeepTech Ventures
AI00128,Research Scientist,69487,USD,Entry,Contract,switzerland,Small,switzerland,0,Master,0,Transportation,2024-11-04,2024-12-02,7.7,Machine Intelligence Group
AI00129,AI Product Manager,95673,USD,Executive,Freelance,ireland,Small,ireland,0,Associate,17,Technology,2024-08-24,2024-09-15,8.1,Neural Networks Co
AI00130,AI Software Engineer,59405,USD,Entry,Freelance,austria,Large,austria,100,Bachelor,1,Consulting,2025-03-18,2025-04-12,6.0,Smart Analytics
AI00131,AI Specialist,131756,EUR,Senior,Part Time,netherlands,Mid,finland,0,PhD,5,Technology,2024-08-03,2024-10-15,7.9,AI Innovations
AI00132,AI Software Engineer,42835,USD,Entry,Part Time,south korea,Large,france,0,Bachelor,0,Media,2025-03-02,2025-03-30,9.0,Machine Intelligence Group
AI00133,Autonomous Systems Engineer,61893,USD,Entry,Full Time,canada,Mid,canada,50,Associate,1,Consulting,2024-03-28,2024-05-01,5.2,Predictive Systems
AI00134,ML Ops Engineer,141791,EUR,Executive,Contract,france,Mid,france,0,PhD,13,Media,2025-02-03,2025-02-23,5.8,Algorithmic Solutions
AI00135,AI Product Manager,258637,GBP,Executive,Part Time,united kingdom,Mid,united kingdom,50,Master,11,Education,2025-01-16,2025-02-15,9.1,Cognitive Computing
AI00136,NLP Engineer,49485,USD,Mid,Full Time,finland,Small,finland,0,Associate,2,Technology,2024-08-09,2024-09-16,7.8,Cloud AI Solutions
AI00137,Robotics Engineer,172916,USD,Senior,Part Time,norway,Small,india,100,Bachelor,8,Manufacturing,2024-12-29,2025-01-15,7.6,Smart Analytics
AI00138,Machine Learning Engineer,324557,USD,Executive,Full Time,denmark,Large,denmark,100,PhD,11,Telecommunications,2024-11-06,2024-11-24,7.3,Machine Intelligence Group
AI00139,AI Consultant,73894,EUR,Mid,Contract,france,Mid,france,50,Bachelor,4,Consulting,2024-08-08,2024-09-12,5.2,Digital Transformation LLC
AI00140,Principal Data Scientist,122598,USD,Senior,Full Time,sweden,Small,india,50,Associate,9,Media,2025-01-05,2025-02-13,5.2,Digital Transformation LLC
AI00141,Data Scientist,94478,USD,Mid,Freelance,denmark,Small,denmark,100,PhD,4,Retail,2024-05-24,2024-06-25,8.4,Algorithmic Solutions
AI00142,Autonomous Systems Engineer,53088,USD,Entry,Part Time,austria,Mid,austria,50,PhD,1,Finance,2025-04-12,2025-06-13,9.0,Machine Intelligence Group
AI00143,Machine Learning Researcher,116012,USD,Mid,Full Time,denmark,Mid,australia,0,Master,3,Automotive,2024-09-23,2024-10-30,7.9,Predictive Systems
AI00144,Deep Learning Engineer,35593,USD,Entry,Contract,china,Small,china,0,Bachelor,0,Media,2024-03-09,2024-04-07,6.3,AI Innovations
AI00145,AI Product Manager,149053,USD,Executive,Full Time,austria,Small,austria,0,Master,17,Media,2024-11-17,2024-12-26,5.5,Smart Analytics
AI00146,Principal Data Scientist,88230,USD,Mid,Full Time,austria,Large,austria,0,Associate,4,Education,2024-05-22,2024-07-27,7.6,DeepTech Ventures
AI00147,AI Research Scientist,224919,USD,Executive,Freelance,australia,Mid,switzerland,100,Associate,19,Education,2024-12-02,2025-01-24,5.7,TechCorp Inc
AI00148,Machine Learning Researcher,220439,EUR,Executive,Part Time,netherlands,Small,netherlands,100,Associate,12,Manufacturing,2024-03-30,2024-04-15,9.9,TechCorp Inc
AI00149,NLP Engineer,48861,USD,Entry,Part Time,finland,Small,finland,100,Bachelor,0,Healthcare,2024-07-04,2024-08-11,8.1,DeepTech Ventures
AI00150,AI Specialist,115841,USD,Senior,Freelance,united states,Small,united states,0,PhD,7,Healthcare,2024-10-25,2024-12-11,7.2,Quantum Computing Inc
AI00151,NLP Engineer,57266,USD,Mid,Freelance,ireland,Mid,ireland,0,Bachelor,3,Media,2024-08-11,2024-08-26,7.3,Neural Networks Co
AI00152,Deep Learning Engineer,66384,USD,Mid,Contract,australia,Small,israel,0,Associate,2,Government,2024-04-21,2024-05-24,9.1,Autonomous Tech
AI00153,Data Analyst,184637,USD,Executive,Part Time,sweden,Small,sweden,100,Bachelor,11,Government,2024-05-23,2024-07-09,5.5,Machine Intelligence Group
AI00154,AI Research Scientist,92445,EUR,Mid,Contract,netherlands,Mid,finland,50,Bachelor,4,Technology,2024-10-22,2024-12-24,9.2,DataVision Ltd
AI00155,Machine Learning Researcher,57388,USD,Entry,Freelance,canada,Large,canada,0,Associate,1,Consulting,2024-01-12,2024-02-12,8.3,Smart Analytics
AI00156,Head of AI,53374,USD,Mid,Part Time,china,Mid,china,0,PhD,2,Government,2024-06-22,2024-07-31,9.5,Algorithmic Solutions
AI00157,AI Research Scientist,95716,USD,Senior,Contract,finland,Small,finland,50,PhD,6,Media,2024-03-19,2024-04-05,7.4,Digital Transformation LLC
AI00158,NLP Engineer,157091,USD,Mid,Freelance,norway,Large,norway,0,PhD,2,Transportation,2025-03-04,2025-03-24,7.7,DataVision Ltd
AI00159,ML Ops Engineer,204144,USD,Senior,Freelance,norway,Large,norway,100,PhD,8,Telecommunications,2024-12-12,2025-01-03,9.5,Autonomous Tech
AI00160,AI Software Engineer,190314,EUR,Executive,Contract,netherlands,Mid,netherlands,100,PhD,12,Government,2024-05-23,2024-07-22,9.9,Digital Transformation LLC
AI00161,Principal Data Scientist,198403,USD,Executive,Freelance,denmark,Mid,israel,50,Associate,15,Media,2024-03-14,2024-04-21,9.1,Digital Transformation LLC
AI00162,Research Scientist,153040,USD,Senior,Contract,canada,Large,canada,50,Bachelor,7,Manufacturing,2024-06-25,2024-08-23,8.2,Autonomous Tech
AI00163,AI Software Engineer,51898,USD,Mid,Freelance,israel,Small,israel,0,Associate,2,Consulting,2024-10-05,2024-11-26,8.9,Machine Intelligence Group
AI00164,AI Architect,115191,EUR,Senior,Freelance,germany,Small,netherlands,0,Associate,7,Education,2024-07-10,2024-09-04,5.7,Advanced Robotics
AI00165,ML Ops Engineer,170139,USD,Senior,Part Time,united states,Large,denmark,50,Bachelor,5,Technology,2025-01-30,2025-03-27,9.6,Future Systems
AI00166,ML Ops Engineer,63860,USD,Entry,Contract,canada,Large,canada,100,Master,0,Gaming,2024-08-02,2024-09-28,9.5,Autonomous Tech
AI00167,NLP Engineer,125152,USD,Mid,Contract,norway,Mid,norway,100,PhD,3,Retail,2024-08-11,2024-08-31,6.6,Smart Analytics
AI00168,AI Software Engineer,61572,USD,Entry,Contract,south korea,Large,south korea,50,Bachelor,0,Healthcare,2024-07-19,2024-09-08,7.1,DataVision Ltd
AI00169,Head of AI,101054,EUR,Mid,Contract,germany,Mid,israel,50,Master,3,Transportation,2024-01-06,2024-02-26,8.5,Autonomous Tech
AI00170,Data Engineer,145355,USD,Executive,Contract,canada,Small,canada,100,Master,13,Media,2024-08-25,2024-09-12,9.6,DeepTech Ventures
AI00171,Deep Learning Engineer,183484,USD,Executive,Full Time,singapore,Small,singapore,100,Master,19,Gaming,2024-11-20,2025-01-01,7.7,Autonomous Tech
AI00172,AI Product Manager,111997,USD,Mid,Contract,singapore,Large,singapore,100,PhD,2,Technology,2025-03-15,2025-04-14,6.6,Neural Networks Co
AI00173,AI Specialist,214195,GBP,Executive,Part Time,united kingdom,Mid,sweden,100,Bachelor,19,Manufacturing,2025-03-13,2025-04-11,5.2,Smart Analytics
AI00174,AI Software Engineer,93211,USD,Senior,Part Time,india,Mid,united kingdom,50,Master,9,Manufacturing,2025-01-08,2025-02-03,9.3,Machine Intelligence Group
AI00175,Deep Learning Engineer,82209,EUR,Entry,Part Time,germany,Large,germany,100,Master,1,Transportation,2024-11-09,2024-12-23,7.0,Smart Analytics
